
Gurobi 9.5.0 (win64) logging started Tue Apr  5 17:50:01 2022

Set parameter LogFile to value "..\NewModel\Data_10_5_1\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 15732 rows, 4225 columns and 410396 nonzeros
Model fingerprint: 0x6dcad8e1
Variable types: 158 continuous, 4067 integer (4067 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [9e-01, 1e+05]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+05]
Found heuristic solution: objective 983933.55536
Presolve added 0 rows and 27 columns
Presolve removed 1975 rows and 0 columns
Presolve time: 0.83s
Presolved: 13757 rows, 4252 columns, 238503 nonzeros
Variable types: 140 continuous, 4112 integer (4112 binary)

Root relaxation: objective 1.230968e+05, 642 iterations, 0.10 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 74286  3596 123096.779   81   51 132177.014 123096.779  6.87%  78.7  514s
 75175  3662 123096.779  100   34 132177.014 123096.779  6.87%  78.8  519s
 76028  3842 132056.423   80   50 132177.014 123096.779  6.87%  79.0  524s
 76926  3869 126159.362   91   27 132177.014 123096.779  6.87%  78.9  530s
 77871  3878 infeasible  124      132177.014 123096.779  6.87%  78.9  537s
 78810  4001 infeasible   90      132177.014 123096.779  6.87%  78.9  543s
 79734  4031 infeasible   85      132177.014 123096.779  6.87%  79.1  548s
 80485  4073 infeasible  115      132177.014 123096.779  6.87%  79.2  554s
 81285  4010 126159.362   86   34 132177.014 123096.779  6.87%  79.2  561s
 82454  4000 124174.533   94   39 132177.014 123096.779  6.87%  79.2  568s
 83233  4018 123096.779   78   33 132177.014 123096.779  6.87%  79.4  574s
 84216  4020 123096.779   73   50 132177.014 123096.779  6.87%  79.4  580s
 85339  4037 124171.668   90   36 132177.014 123096.779  6.87%  79.3  585s
 86239  4119 123096.779   83   30 132177.014 123096.779  6.87%  79.3  591s
 87354  4213 126159.362   68   33 132177.014 123096.779  6.87%  79.3  597s
 88355  4306 infeasible   73      132177.014 123096.779  6.87%  79.4  603s
