
Gurobi 9.5.0 (win64) logging started Thu Apr  7 01:13:44 2022

Set parameter LogFile to value "..\NewModel\Data_12_5_5\Penalt_10Mins\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 23548 rows, 6057 columns and 778466 nonzeros
Model fingerprint: 0x81305f01
Variable types: 186 continuous, 5871 integer (5871 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [1e+00, 6e+02]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+05]
Found heuristic solution: objective 6600.0000000
Presolve added 0 rows and 26 columns
Presolve removed 1043 rows and 0 columns
Presolve time: 1.02s
Presolved: 22505 rows, 6083 columns, 582492 nonzeros
Extracted 6831 lazy constraints
Variable types: 168 continuous, 5915 integer (5915 binary)

Root relaxation: objective 7.842369e+02, 838 iterations, 0.09 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 99985  9515 infeasible   53      4425.34500 1200.00000  72.9%  39.3  513s
 100242  9544 infeasible   44      4425.34500 1200.00000  72.9%  39.4  516s
 100600  9518 infeasible   46      4425.34500 1200.00000  72.9%  39.6  520s
 101896  9849 1200.00000   41   40 4425.34500 1200.00000  72.9%  40.0  529s
 104051  9852 infeasible   50      4425.34500 1200.00000  72.9%  39.7  532s
 104366  9827 1200.00000   43   29 4425.34500 1200.00000  72.9%  39.9  536s
 105032  9770 1200.12168   52  130 4425.34500 1200.00000  72.9%  40.2  551s
 107096 10285 3425.77681   37   15 4425.34500 1200.00000  72.9%  40.8  563s
 111924 10241 infeasible   39      4425.34500 1200.00000  72.9%  40.2  566s
 112198 10241 infeasible   40      4425.34500 1200.00000  72.9%  40.3  570s
 112958 10173 infeasible   41      4425.34500 1200.00000  72.9%  40.6  579s
 113682 10348 1200.00000   42   66 4425.34500 1200.00000  72.9%  40.9  590s
 117822 10222 1200.00000   34   31 4425.34500 1200.00000  72.9%  40.8  607s
 119551 10903 1200.00000   29   40 4425.34500 1200.00000  72.9%  41.5  619s
 123796 10877 1200.00000   32   10 4425.34500 1200.00000  72.9%  41.1  623s
 124204 10883 infeasible   34      4425.34500 1200.00000  72.9%  41.1  626s
 124758 10875 1200.00000   37   21 4425.34500 1200.00000  72.9%  41.3  631s
 125001 10805 infeasible   42      4425.34500 1200.00000  72.9%  41.4  645s
 127008 11312 1885.69862   37   16 4425.34500 1200.00000  72.9%  42.1  659s
 131769 11279 infeasible   46      4425.34500 1200.00000  72.9%  41.7  663s
 132009 11265 infeasible   31      4425.34500 1200.00000  72.9%  41.8  667s
 132583 11289 infeasible   41      4425.34500 1200.00000  72.9%  41.9  673s
 133484 11298 1200.00000   35   24 4425.34500 1200.00000  72.9%  42.1  677s
 134125 11301 infeasible   35      4425.34500 1200.00000  72.9%  42.2  681s
 134859 11548 1213.05802   31   25 4425.34500 1200.00000  72.9%  42.3  687s
 137701 11561 1200.00000   30   19 4425.34500 1200.00000  72.9%  42.0  691s
 137908 11528 infeasible   29      4425.34500 1200.00000  72.9%  42.1  695s
 138113 11286 infeasible   51      4425.34500 1200.00000  72.9%  42.1  712s
 140432 11677 1200.00000   36   21 4425.34500 1200.00000  72.9%  42.7  727s
 146160 11636 infeasible   50      4425.34500 1200.00000  72.9%  42.0  731s
 146616 11434 infeasible   34      4425.34500 1200.00000  72.9%  42.2  740s
